DS001,506
DS002,961
DS003,961
DS004,570
DS005,616
DS006,616
DS007,616
DS008,217
DS009,1403
DS010,1403
DS011,565
DS012,565
DS013,1279
DS014,1279
DS015,1279
DS016,1279
DS017,2035
DS018,2035
DS019,192
DS020,412
DS021,412
DS022,412
DS023,203
DS024,412
DS025,2393
DS026,565
DS027,2393
DS028,2393
DS029,2393
DS030,1748
DS031,1748
DS032,1236
DS033,1236
DS034,300
DS035,1463
DS036,1463
DS037,368
DS038,368
DS039,344
DS040,519
DS041,519
DS042,519
DS043,634
DS044,982
DS045,355
DS046,355
DS047,374
DS048,494
DS049,738
DS050,738
DS051,962
DS052,909
DS053,2469
DS054,2469
DS055,2469
DS056,775
DS057,1913
DS058,1913
DS059,1151
DS060,1913
DS061,1965
DS062,1965
DS063,2148
DS064,2148
DS065,1965
DS066,2148
DS067,1216
DS068,1216
DS069,1607
DS070,1607
DS071,1607
DS072,1082
DS073,1082
DS074,1317
DS075,2049
DS076,2049
DS077,2049
DS078,2049
DS079,845
DS080,845
DS081,1048
DS082,1048
DS083,1048
DS084,990
DS085,990
DS086,1384
DS087,1890
DS088,1890
DS089,1452
DS090,515
DS091,515
DS092,515
DS093,1018
DS094,2615
DS095,2615
WS001,412
WS002,961
WS003,1236
WS004,565
WS005,1452
WS006,909
WS007,565
WS008,515
WS009,2049
WS010,962
TC001,2049
TC002,634
RH001,1018
RH002,990
